# search log
# id> internal id
# created_at> database insert timestamp
# params> jSON of attributes
	what> "what" keyword
	where> "where" keyword
	from> pagination of results (0 means first page)
	size> number of results per page
	source_facility> originator of request, always "op"
	record_ids> if there are results from catalogue (not only phonebook), here are returned subject IDs
	uir_type, uir_id, uir_name> if "where" field is recognized as an address, here are database IDs of that address

id;created_at;params
336957015;2014-10-01 00:13:36.0;{"what":"tesco nonstop","where":"Praha","from":"0","size":"3","source_facility":"op","record_ids":[],"uir_type":"city","uir_id":554782,"uir_name":"Praha"}
336957209;2014-10-01 00:15:24.0;{"what":"komerční banka","where":"","from":"0","size":"3","source_facility":"op","record_ids":[81961,463925,463890]}
336957170;2014-10-01 00:15:25.0;{"what":"komerční banka","where":"","from":"0","size":"3","source_facility":"op"}
336957153;2014-10-01 00:16:42.0;{"what":"privát","where":"Blansko, okres Blansko","from":"0","size":"3","source_facility":"op"}
336957190;2014-10-01 00:16:43.0;{"what":"privát","where":"Blansko, okres Blansko","from":"0","size":"3","source_facility":"op","record_ids":[66121,482297],"uir_type":"city","uir_id":581283,"uir_name":"Blansko"}
336957427;2014-10-01 00:17:45.0;{"what":"privát","where":"brno","from":"0","size":"3","source_facility":"op","record_ids":[],"uir_type":"city","uir_id":582786,"uir_name":"Brno"}
336957321;2014-10-01 00:17:46.0;{"what":"privát","where":"brno","from":"0","size":"3","source_facility":"op"}
336957436;2014-10-01 00:18:35.0;{"what":"tick tack taxi","where":"Praha","from":"0","size":"3","source_facility":"op","record_ids":[762071],"uir_type":"city","uir_id":554782,"uir_name":"Praha"}
336957265;2014-10-01 00:18:35.0;{"what":"tick tack taxi","where":"Praha","from":"0","size":"3","source_facility":"op"}
336957445;2014-10-01 00:21:18.0;{"what":"taxi","where":"Ústí nad Labem, okres Ústí nad Labem","from":"0","size":"3","source_facility":"op"}
336957371;2014-10-01 00:21:19.0;{"what":"taxi","where":"Ústí nad Labem, okres Ústí nad Labem","from":"0","size":"3","source_facility":"op","record_ids":[68406,85506,58585],"uir_type":"city","uir_id":554804,"uir_name":"Ústí nad Labem"}
336957597;2014-10-01 00:21:43.0;{"what":"taxi","where":"brno","from":"0","size":"3","source_facility":"op"}
336957569;2014-10-01 00:21:44.0;{"what":"taxi","where":"brno","from":"0","size":"3","source_facility":"op","record_ids":[744013,80509,68244],"uir_type":"city","uir_id":582786,"uir_name":"Brno"}
336957607;2014-10-01 00:23:05.0;{"what":"elektrikář pohotovost","where":"trutnov","from":"0","size":"3","source_facility":"op"}
336957466;2014-10-01 00:23:05.0;{"what":"elektrikář pohotovost","where":"trutnov","from":"0","size":"3","source_facility":"op","record_ids":[761119],"uir_type":"city","uir_id":579025,"uir_name":"Trutnov"}
336957649;2014-10-01 00:23:12.0;{"what":"elektrikář pohotovost","where":"Turnov, okres Semily","from":"0","size":"3","source_facility":"op","record_ids":[],"uir_type":"city","uir_id":577626,"uir_name":"Turnov"}
336957511;2014-10-01 00:23:13.0;{"what":"elektrikář pohotovost","where":"Turnov, okres Semily","from":"0","size":"3","source_facility":"op"}
336957683;2014-10-01 00:23:14.0;{"what":"nejlevnější taxi","where":"Praha","from":"0","size":"3","source_facility":"op"}
336957610;2014-10-01 00:23:15.0;{"what":"nejlevnější taxi","where":"Praha","from":"0","size":"3","source_facility":"op","record_ids":[80681,84977],"uir_type":"city","uir_id":554782,"uir_name":"Praha"}
336957684;2014-10-01 00:23:49.0;{"what":"taxi","where":"Praha","from":"0","size":"3","source_facility":"op"}
336957574;2014-10-01 00:23:51.0;{"what":"taxi","where":"Praha","from":"0","size":"3","source_facility":"op","record_ids":[66181,762071,58685],"uir_type":"city","uir_id":554782,"uir_name":"Praha"}
336957611;2014-10-01 00:25:15.0;{"what":"taxi","where":"Železná Ruda, okres Klatovy","from":"0","size":"3","source_facility":"op","record_ids":[618935,463994],"uir_type":"city","uir_id":557528,"uir_name":"Železná Ruda"}
336957736;2014-10-01 00:25:16.0;{"what":"taxi","where":"Železná Ruda, okres Klatovy","from":"0","size":"3","source_facility":"op"}
336957758;2014-10-01 00:26:11.0;{"what":"taxi jesenice","where":"Jesenice, okres Praha-západ","from":"0","size":"3","source_facility":"op"}
336957724;2014-10-01 00:26:12.0;{"what":"taxi jesenice","where":"Jesenice, okres Praha-západ","from":"0","size":"3","source_facility":"op","record_ids":[464683],"uir_type":"city","uir_id":539325,"uir_name":"Jesenice"}
336957694;2014-10-01 00:26:49.0;{"what":"autopůjčovna nonstop","where":"Praha, Hlavní město Praha","from":"0","size":"3","source_facility":"op"}
336957745;2014-10-01 00:26:51.0;{"what":"autopůjčovna nonstop","where":"Praha, Hlavní město Praha","from":"0","size":"3","source_facility":"op","record_ids":[65352,67131,86373],"uir_type":"city","uir_id":554782,"uir_name":"Praha"}
336957879;2014-10-01 00:27:08.0;{"what":"autopůjčovna nonstop","where":"Praha, Hlavní město Praha","from":"3","size":"5","source_facility":"op","record_ids":[],"uir_type":"city","uir_id":554782,"uir_name":"Praha"}
336957773;2014-10-01 00:28:48.0;{"what":"blokace česká spořitelna","where":"","from":"0","size":"3","source_facility":"op"}
336957735;2014-10-01 00:28:49.0;{"what":"blokace česká spořitelna","where":"","from":"0","size":"3","source_facility":"op","record_ids":[]}
336957780;2014-10-01 00:29:19.0;{"what":"elektrikář","where":"Turnov, okres Semily","from":"0","size":"3","source_facility":"op"}
336957956;2014-10-01 00:29:20.0;{"what":"elektrikář","where":"Turnov, okres Semily","from":"0","size":"3","source_facility":"op","record_ids":[],"uir_type":"city","uir_id":577626,"uir_name":"Turnov"}
336957781;2014-10-01 00:29:34.0;{"what":"zámečník","where":"Kolín","from":"0","size":"3","source_facility":"op","record_ids":[84840,66620,72370],"uir_type":"city","uir_id":533165,"uir_name":"Kolín"}
336958001;2014-10-01 00:29:35.0;{"what":"zámečník","where":"Kolín","from":"0","size":"3","source_facility":"op"}
336957978;2014-10-01 00:31:55.0;{"what":"privát","where":"prostějov","from":"0","size":"3","source_facility":"op"}
336957868;2014-10-01 00:31:56.0;{"what":"privát","where":"prostějov","from":"0","size":"3","source_facility":"op","record_ids":[],"uir_type":"city","uir_id":589250,"uir_name":"Prostějov"}
336958019;2014-10-01 00:32:23.0;{"what":"ubytovna","where":"prostějov","from":"0","size":"3","source_facility":"op"}
336958008;2014-10-01 00:32:24.0;{"what":"ubytovna","where":"prostějov","from":"0","size":"3","source_facility":"op","record_ids":[65661,434785,478719],"uir_type":"city","uir_id":589250,"uir_name":"Prostějov"}
336957913;2014-10-01 00:32:28.0;{"what":"linka důvěry","where":"","from":"0","size":"3","source_facility":"op"}
336957965;2014-10-01 00:32:29.0;{"what":"linka důvěry","where":"","from":"0","size":"3","source_facility":"op","record_ids":[81188,75567,53605]}
336957987;2014-10-01 00:32:41.0;{"what":"linka důvěry zdarma","where":"","from":"0","size":"3","source_facility":"op","record_ids":[]}
336958009;2014-10-01 00:32:42.0;{"what":"linka důvěry zdarma","where":"","from":"0","size":"3","source_facility":"op"}
336957953;2014-10-01 00:33:00.0;{"what":"linka důvěry","where":"","from":"0","size":"3","source_facility":"op"}
336958037;2014-10-01 00:33:01.0;{"what":"linka důvěry","where":"","from":"0","size":"3","source_facility":"op","record_ids":[81188,75567,53605]}
336958056;2014-10-01 00:33:35.0;{"what":"asistenční služba UAMK","where":"","from":"0","size":"3","source_facility":"op"}
336957969;2014-10-01 00:33:36.0;{"what":"asistenční služba UAMK","where":"","from":"0","size":"3","source_facility":"op","record_ids":[82462,83250,69689]}
336958062;2014-10-01 00:34:45.0;{"what":"taxi","where":"Ústí nad Labem, okres Ústí nad Labem","from":"0","size":"3","source_facility":"op","record_ids":[68406,85506,58585],"uir_type":"city","uir_id":554804,"uir_name":"Ústí nad Labem"}
336958159;2014-10-01 00:34:46.0;{"what":"taxi","where":"Ústí nad Labem, okres Ústí nad Labem","from":"0","size":"3","source_facility":"op"}
336958098;2014-10-01 00:34:54.0;{"what":"taxi dva","where":"Ústí nad Labem, okres Ústí nad Labem","from":"0","size":"3","source_facility":"op","record_ids":[],"uir_type":"city","uir_id":554804,"uir_name":"Ústí nad Labem"}
336958046;2014-10-01 00:34:55.0;{"what":"taxi dva","where":"Ústí nad Labem, okres Ústí nad Labem","from":"0","size":"3","source_facility":"op"}
336958082;2014-10-01 00:34:59.0;{"what":"taxi pam pamdva","where":"Ústí nad Labem, okres Ústí nad Labem","from":"0","size":"3","source_facility":"op","record_ids":[],"uir_type":"city","uir_id":554804,"uir_name":"Ústí nad Labem"}
336958143;2014-10-01 00:35:00.0;{"what":"taxi pam pamdva","where":"Ústí nad Labem, okres Ústí nad Labem","from":"0","size":"3","source_facility":"op"}
336958034;2014-10-01 00:35:19.0;{"what":"taxi","where":"Praha","from":"0","size":"3","source_facility":"op"}
336958177;2014-10-01 00:35:22.0;{"what":"taxi","where":"Praha","from":"0","size":"3","source_facility":"op","record_ids":[762071,66181,58685],"uir_type":"city","uir_id":554782,"uir_name":"Praha"}
336958035;2014-10-01 00:35:23.0;{"what":"taxi","where":"Ústí nad Labem, okres Ústí nad Labem","from":"0","size":"3","source_facility":"op"}
336958178;2014-10-01 00:35:24.0;{"what":"taxi","where":"Ústí nad Labem, okres Ústí nad Labem","from":"0","size":"3","source_facility":"op","record_ids":[68406,85506,58585],"uir_type":"city","uir_id":554804,"uir_name":"Ústí nad Labem"}
336958099;2014-10-01 00:35:32.0;{"what":"toxikologické oddělení","where":"Praha","from":"0","size":"3","source_facility":"op","record_ids":[],"uir_type":"city","uir_id":554782,"uir_name":"Praha"}
336958181;2014-10-01 00:35:33.0;{"what":"toxikologické oddělení","where":"Praha","from":"0","size":"3","source_facility":"op"}
336958086;2014-10-01 00:36:32.0;{"what":"pojmanka","where":"prostějov","from":"0","size":"3","source_facility":"op","record_ids":[],"uir_type":"city","uir_id":589250,"uir_name":"Prostějov"}
336958168;2014-10-01 00:36:33.0;{"what":"pojmanka","where":"prostějov","from":"0","size":"3","source_facility":"op"}
336958238;2014-10-01 00:36:57.0;{"what":"ubytovna","where":"Vrahovická, Prostějov, okres Prostějov","from":"0","size":"3","source_facility":"op"}
336958154;2014-10-01 00:36:58.0;{"what":"ubytovna","where":"Vrahovická, Prostějov, okres Prostějov","from":"0","size":"3","source_facility":"op","record_ids":[65661,434785,490319],"uir_type":"street","uir_id":516554,"uir_name":"Vrahovická"}
336958239;2014-10-01 00:38:25.0;{"what":"omv","where":"Brno","from":"0","size":"3","source_facility":"op"}
336958597;2014-10-01 00:38:26.0;{"what":"omv","where":"Brno","from":"0","size":"3","source_facility":"op","record_ids":[],"uir_type":"city","uir_id":582786,"uir_name":"Brno"}
336958518;2014-10-01 00:38:32.0;{"what":"omv","where":"Brno Porgasova","from":"0","size":"3","source_facility":"op","record_ids":[]}
336958206;2014-10-01 00:38:32.0;{"what":"omv","where":"Brno Porgasova","from":"0","size":"3","source_facility":"op"}
336958519;2014-10-01 00:38:34.0;{"what":"taxi","where":"Jičín, okres Jičín","from":"0","size":"3","source_facility":"op","record_ids":[84997,49374,72804],"uir_type":"city","uir_id":572659,"uir_name":"Jičín"}
336958598;2014-10-01 00:38:35.0;{"what":"taxi","where":"Jičín, okres Jičín","from":"0","size":"3","source_facility":"op"}
336958302;2014-10-01 00:38:46.0;{"what":"omv","where":"Brno Porgesova","from":"0","size":"3","source_facility":"op"}
336958599;2014-10-01 00:38:47.0;{"what":"omv","where":"Brno Porgesova","from":"0","size":"3","source_facility":"op","record_ids":[],"uir_type":"street","uir_id":725005,"uir_name":"Porgesova"}
336958520;2014-10-01 00:38:54.0;{"what":"rozvoz","where":"praha","from":"0","size":"3","source_facility":"op"}
336958600;2014-10-01 00:38:56.0;{"what":"rozvoz","where":"praha","from":"0","size":"3","source_facility":"op","record_ids":[85120,86439,66279],"uir_type":"city","uir_id":554782,"uir_name":"Praha"}
336958601;2014-10-01 00:39:00.0;{"what":"rozvoz jídla","where":"praha","from":"0","size":"3","source_facility":"op"}
336958521;2014-10-01 00:39:00.0;{"what":"rozvoz jídla","where":"praha","from":"0","size":"3","source_facility":"op","record_ids":[66279,72918,58464],"uir_type":"city","uir_id":554782,"uir_name":"Praha"}
336958303;2014-10-01 00:39:05.0;{"what":"pizza rozvoz","where":"praha","from":"0","size":"3","source_facility":"op"}
336958193;2014-10-01 00:39:08.0;{"what":"pizza rozvoz","where":"praha","from":"0","size":"3","source_facility":"op","record_ids":[763009,58464,762405],"uir_type":"city","uir_id":554782,"uir_name":"Praha"}
336958248;2014-10-01 00:39:45.0;{"what":"sos drink","where":"praha ","from":"0","size":"3","source_facility":"op"}
336958262;2014-10-01 00:39:47.0;{"what":"sos drink","where":"praha ","from":"0","size":"3","source_facility":"op","record_ids":[66279,684083,58685],"uir_type":"city","uir_id":554782,"uir_name":"Praha"}
336958235;2014-10-01 00:39:52.0;{"what":"sos drink","where":"Praha, Hlavní město Praha","from":"0","size":"3","source_facility":"op","record_ids":[66279,684083,58685],"uir_type":"city","uir_id":554782,"uir_name":"Praha"}
336958318;2014-10-01 00:39:53.0;{"what":"sos drink","where":"Praha, Hlavní město Praha","from":"0","size":"3","source_facility":"op"}
336958313;2014-10-01 00:40:56.0;{"what":"taxislužba","where":"Ústí nad Labem, okres Ústí nad Labem","from":"0","size":"3","source_facility":"op"}
336958340;2014-10-01 00:40:57.0;{"what":"taxislužba","where":"Ústí nad Labem, okres Ústí nad Labem","from":"0","size":"3","source_facility":"op","record_ids":[85506,68406,310993],"uir_type":"city","uir_id":554804,"uir_name":"Ústí nad Labem"}
336958526;2014-10-01 00:41:57.0;{"what":"taxi","where":"Praha","from":"0","size":"3","source_facility":"op","record_ids":[66181,762071,58685],"uir_type":"city","uir_id":554782,"uir_name":"Praha"}
336958378;2014-10-01 00:41:58.0;{"what":"taxi","where":"Praha","from":"0","size":"3","source_facility":"op"}
336958480;2014-10-01 00:42:43.0;{"what":"taxi","where":"brno","from":"0","size":"3","source_facility":"op","record_ids":[744013,80509,81956],"uir_type":"city","uir_id":582786,"uir_name":"Brno"}
336958604;2014-10-01 00:42:44.0;{"what":"taxi","where":"brno","from":"0","size":"3","source_facility":"op"}
336958420;2014-10-01 00:44:06.0;{"what":"nemocnice pohotovost","where":"Strakonice, okres Strakonice","from":"0","size":"3","source_facility":"op"}
336958606;2014-10-01 00:44:07.0;{"what":"nemocnice pohotovost","where":"Strakonice, okres Strakonice","from":"0","size":"3","source_facility":"op","record_ids":[],"uir_type":"city","uir_id":550787,"uir_name":"Strakonice"}
336958503;2014-10-01 00:46:05.0;{"what":"taxi","where":"přerov","from":"0","size":"3","source_facility":"op"}
336958546;2014-10-01 00:46:06.0;{"what":"taxi","where":"přerov","from":"0","size":"3","source_facility":"op","record_ids":[57325,762337,363200],"uir_type":"city","uir_id":511382,"uir_name":"Přerov"}
336958531;2014-10-01 00:46:42.0;{"what":"zastavárna ","where":"Sokolov, okres Sokolov","from":"0","size":"3","source_facility":"op"}
336958572;2014-10-01 00:46:44.0;{"what":"zastavárna ","where":"Sokolov, okres Sokolov","from":"0","size":"3","source_facility":"op","record_ids":[],"uir_type":"city","uir_id":560286,"uir_name":"Sokolov"}
336958669;2014-10-01 00:47:23.0;{"what":"rozvoz jídla","where":"Kladno, okres Kladno","from":"0","size":"3","source_facility":"op"}
336958619;2014-10-01 00:47:23.0;{"what":"rozvoz jídla","where":"Kladno, okres Kladno","from":"0","size":"3","source_facility":"op","record_ids":[77019],"uir_type":"city","uir_id":532053,"uir_name":"Kladno"}
336958513;2014-10-01 00:47:27.0;{"what":"rozvoz pizzy","where":"Kladno, okres Kladno","from":"0","size":"3","source_facility":"op","record_ids":[54049,77019],"uir_type":"city","uir_id":532053,"uir_name":"Kladno"}
336958670;2014-10-01 00:47:28.0;{"what":"rozvoz pizzy","where":"Kladno, okres Kladno","from":"0","size":"3","source_facility":"op"}
336958709;2014-10-01 00:48:00.0;{"what":"rozvoz alkoholu","where":"plzeň","from":"0","size":"3","source_facility":"op"}
336958575;2014-10-01 00:48:02.0;{"what":"rozvoz alkoholu","where":"plzeň","from":"0","size":"3","source_facility":"op","record_ids":[762959,145320,226649],"uir_type":"city","uir_id":554791,"uir_name":"Plzeň"}
336958741;2014-10-01 00:48:48.0;{"what":"bar u tonyho","where":"Sokolov, okres Sokolov","from":"0","size":"3","source_facility":"op","record_ids":[],"uir_type":"city","uir_id":560286,"uir_name":"Sokolov"}
336958615;2014-10-01 00:48:49.0;{"what":"bar u tonyho","where":"Sokolov, okres Sokolov","from":"0","size":"3","source_facility":"op"}
336958653;2014-10-01 00:49:29.0;{"what":"taxi","where":"přerov","from":"0","size":"3","source_facility":"op"}
336958635;2014-10-01 00:49:30.0;{"what":"taxi","where":"přerov","from":"0","size":"3","source_facility":"op","record_ids":[57325,762337,363200],"uir_type":"city","uir_id":511382,"uir_name":"Přerov"}
336958710;2014-10-01 00:49:33.0;{"what":"taxi","where":"plzeň","from":"0","size":"3","source_facility":"op"}
336958816;2014-10-01 00:49:35.0;{"what":"taxi","where":"plzeň","from":"0","size":"3","source_facility":"op","record_ids":[63044,73147,67067],"uir_type":"city","uir_id":554791,"uir_name":"Plzeň"}
336958756;2014-10-01 00:49:37.0;{"what":"tesco","where":"Kladno, okres Kladno","from":"0","size":"3","source_facility":"op"}
336958720;2014-10-01 00:49:37.0;{"what":"tesco","where":"Kladno, okres Kladno","from":"0","size":"3","source_facility":"op","record_ids":[],"uir_type":"city","uir_id":532053,"uir_name":"Kladno"}
336958711;2014-10-01 00:50:20.0;{"what":"rozvoz pizzy","where":"praha","from":"0","size":"3","source_facility":"op","record_ids":[763009,58464,63826],"uir_type":"city","uir_id":554782,"uir_name":"Praha"}
336958688;2014-10-01 00:50:21.0;{"what":"rozvoz pizzy","where":"praha","from":"0","size":"3","source_facility":"op"}
336958858;2014-10-01 00:53:43.0;{"what":"pamela","where":"plzeň","from":"0","size":"3","source_facility":"op","record_ids":[82175],"uir_type":"city","uir_id":554791,"uir_name":"Plzeň"}
336958812;2014-10-01 00:53:43.0;{"what":"pamela","where":"plzeň","from":"0","size":"3","source_facility":"op"}
336958863;2014-10-01 00:54:55.0;{"what":"autozámečník","where":"Benešova, Brno - střed","from":"0","size":"3","source_facility":"op","record_ids":[],"uir_type":"street","uir_id":33529,"uir_name":"Benešova"}
336958832;2014-10-01 00:54:56.0;{"what":"autozámečník","where":"Benešova, Brno - střed","from":"0","size":"3","source_facility":"op"}
336959081;2014-10-01 00:57:24.0;{"what":"t mobile","where":"","from":"0","size":"3","source_facility":"op","record_ids":[68146]}
336958997;2014-10-01 00:57:25.0;{"what":"t mobile","where":"","from":"0","size":"3","source_facility":"op"}
336958988;2014-10-01 00:57:30.0;{"what":"t mobile","where":"","from":"3","size":"5","source_facility":"op"}
336959184;2014-10-01 00:58:54.0;{"what":"strip bar pamela","where":"plzeN","from":"0","size":"3","source_facility":"op"}
336958975;2014-10-01 00:58:54.0;{"what":"strip bar pamela","where":"plzeN","from":"0","size":"3","source_facility":"op","record_ids":[],"uir_type":"city","uir_id":554791,"uir_name":"Plzeň"}
336959378;2014-10-01 01:03:21.0;{"what":"byliny frohlich","where":"","from":"0","size":"3","source_facility":"op"}
336959310;2014-10-01 01:03:21.0;{"what":"byliny frohlich","where":"","from":"0","size":"3","source_facility":"op","record_ids":[]}
336959719;2014-10-01 01:11:08.0;{"what":"lékárna nonstop","where":"teplice","from":"0","size":"3","source_facility":"op"}
336959571;2014-10-01 01:11:08.0;{"what":"lékárna nonstop","where":"teplice","from":"0","size":"3","source_facility":"op","record_ids":[],"uir_type":"city","uir_id":567442,"uir_name":"Teplice"}
336959625;2014-10-01 01:11:39.0;{"what":"lékárna pohotovost","where":"teplice","from":"0","size":"3","source_facility":"op","record_ids":[],"uir_type":"city","uir_id":567442,"uir_name":"Teplice"}
336959611;2014-10-01 01:11:39.0;{"what":"lékárna pohotovost","where":"teplice","from":"0","size":"3","source_facility":"op"}
336959989;2014-10-01 01:21:25.0;{"what":"taxi","where":"Kralupy nad vltavou","from":"0","size":"3","source_facility":"op"}
336959954;2014-10-01 01:21:25.0;{"what":"taxi","where":"Kralupy nad vltavou","from":"0","size":"3","source_facility":"op","record_ids":[84654,70138,59313],"uir_type":"city","uir_id":534951,"uir_name":"Kralupy nad Vltavou"}
336960100;2014-10-01 01:22:29.0;{"what":"penzion","where":"Prostějov, okres Prostějov","from":"0","size":"3","source_facility":"op"}
336959968;2014-10-01 01:22:29.0;{"what":"penzion","where":"Prostějov, okres Prostějov","from":"0","size":"3","source_facility":"op","record_ids":[78773,65661,76185],"uir_type":"city","uir_id":589250,"uir_name":"Prostějov"}
336960107;2014-10-01 01:22:49.0;{"what":"penzion","where":"Prostějov, okres Prostějov","from":"3","size":"5","source_facility":"op","record_ids":[637989,505049,65661,76185,68766],"uir_type":"city","uir_id":589250,"uir_name":"Prostějov"}
336960478;2014-10-01 01:23:54.0;{"what":"penzion","where":"Prostějov, okres Prostějov","from":"8","size":"15","source_facility":"op","record_ids":[514789],"uir_type":"city","uir_id":589250,"uir_name":"Prostějov"}
336960308;2014-10-01 01:25:20.0;{"what":"o2","where":"","from":"0","size":"3","source_facility":"op"}
336960114;2014-10-01 01:25:20.0;{"what":"o2","where":"","from":"0","size":"3","source_facility":"op","record_ids":[761727,71541,56640]}
336960189;2014-10-01 01:25:23.0;{"what":"tesco mobil","where":"","from":"0","size":"3","source_facility":"op"}
